A Cuban American who is accused of espionage pleads innocent.,American accused of espionage,YES
A Syrian-American airman accused of espionage complained about prisoner treatment at the US base in Guantanamo Cuba.,American accused of espionage,YES
The Daily Telegraph most prized asset in Lord Conrad Black's crumbling media empire has been sold to Britain's Barclay twins.,Daily telegraph is sold.,YES
The Daily Mail has confirmed it has pulled out of the bidding for rival newspaper the Daily Telegraph.,Daily telegraph is sold.,UNKNOWN
On November 25 2001 a baby Asian elephant was born at the National Zoo in Washington DC.,baby elephant born,YES
The 10-day-old test-tube baby elephant born at Colchester Zoo has found a name thanks to the internet,baby elephant born,YES
Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.,skin cancer numbers increase.,UNKNOWN
Wasp and bee stings can be life threatening if you are allergic to the venom.,bee stings can be fatal,YES
The State of California Department of Occupational Health and Safety released its report on the September 5 fatal accident on Disneyland's Big Thunder Mountain Railroad attraction.,Disneyland has accident,YES
The incident in Mogadishu the Somali capital came as U.S. forces began the  final phase of their promised March 31 pullout.,The capital of Somalia is Mogadishu.,YES
The two attacks last week by the Islamic Resistance Movement as Hamas is formally known dramatized for both Israelis and Palestinians the dangers they face in pursuing peaceful coexistence.,The Islamic Resistance Movement is also known as Hamas.,YES
But most Israelis including those sympathetic to the settlers' efforts to reclaim all the territory that was part of the biblical Land of Israel reacted with horror to the Hebron killings and the subsequent violence.,Hebron is located 20 miles south of Jerusalem.,UNKNOWN
The Republic of Tajikistan which declared independence from the Soviet Union in 1991 is in a region that has changed hands many times.,The Soviet Union collapsed in 1991.,UNKNOWN
Soprano's Square: Milan Italy home of the famed La Scala opera house honored soprano Maria Callas on Wednesday when it renamed a new square after the diva.,La Scala opera house is located in Milan Italy.,YES
I just hope I don't become so blissful I become boring. -- Nirvana leader Kurt Cobain giving meaning to his Teen Spirit coda a denial.,Smells Like Teen Spirit is a song by Nirvana.,UNKNOWN
Prime Minister Silvio Berlusconi was elected March 28 with a mandate to reform Italy's business regulations and pull the economy out of recession.,The Italian Prime Minister is Silvio Berlusconi.,YES
Norway's most famous painting The Scream by Edvard Munch was recovered Saturday almost three months after it was stolen from an Oslo museum.,Edvard Munch painted The Scream.,YES
Government forces killed the head of the Armed Islamic Group or GIA which has claimed responsibility for killing 61 foreigners in the last year.,The abbreviation GIA stands for Armed Islamic Group.,YES
I guess you have to expect this in a growing community said Mardelle Kean who lives across the street from John Joseph Famalaro charged in the death of Denise A. Huber who was 23 when she disappeared in 1991.,John J. Famalaro is accused of having killed Denise A. Huber.,YES
In the very same room in fall 1992 George Bush prepped to debate Clinton and Ross Perot in practice sessions with Chief of Staff John H. Sununu.,Ross Perot ran for president in 1992.,UNKNOWN
Camacho is a Mexican version of Japan's Morihiro Hosokawa -- a pragmatic tactician using a crisis and the attendant outcry for reform to further his political standing.,The Japanese Prime Minister is Morihiro Hosokawa.,UNKNOWN
A farmer who was in contact with cows suffering from BSE -- the so-called mad cow disease -- has died from what is regarded as the human form of the disease.,Bovine spongiform encephalopathy is another name for the mad cow disease.,YES
Doctors who treated Ayrton Senna after he crashed during the San Marino Grand Prix have denied allegations that the Brazilian driver died at the Imola track.,Ayrton Senna had the accident that caused his death at the San Marino Grand Prix.,YES
The black Muslim activist said that he had relieved Muhammad of his duties until he demonstrates that he is willing to conform to the manner of representing Allah and the honorable Elijah Muhammad (founder of the Nation of Islam).,Elijah Muhammad founded the Nation of Islam.,YES
Oil prices notoriously vulnerable to political events spiked as high as $40 a barrel during the Gulf War in 1991.,The Gulf War was fought in 1991.,YES
Easter is over but that doesn't mean you can't enjoy Ben-Hur the granddaddy of biblical epics and winner of a record 11 Oscars including best picture and best actor (Charlton Heston in the title role).,Charlton Heston played the title role in the movie Ben-Hur.,YES
The anti-terrorist court found two men guilty of murdering Shapour Bakhtiar and his secretary Sorush Katibeh who were found with their throats cut in August 1991.,Shapour Bakhtiar died in 1991.,YES
The program will include Falla's Night in the Gardens of Spain Ravel's Piano Concerto in G Berlioz's Overture to Beatrice and Benedict and Roy Harris' Symphony No. 3.,Beatrice and Benedict is an overture by Berlioz.,YES
To the world M. Larry Lawrence the new U.S. emissary to Switzerland who hosted President Clinton on his Southern California vacation will be known as Mr. Ambassador.,Larry Lawrence is the head of the U.S. Embassy in Switzerland.,YES
Amid rumors that China's 90-year-old senior leader Deng Xiaoping is near death the visit also comes at a propitious moment to establish relationships with top officials both military and civilian who are likely to play a role in the post-Deng succession period as China struggles to find a new leader.,Deng Xiaoping is 90 years old.,YES
While civilians ran for cover or fled to the countryside Russian forces were seen edging their artillery guns closer to Grozny and Chechen fighters were offering little resistance.,Grozny is the capital of Chechnya.,UNKNOWN
Former tennis star Vitas Gerulaitis died in such fashion in September from a lethal carbon monoxide buildup related to the faulty installation of a propane heater.,Vitas Gerulaitis died of carbon monoxide poisoning.,YES
The two suspects belong to the 30th Street gang which became embroiled in one of the most notorious recent crimes in Mexico: a shootout at the Guadalajara airport in May 1993 that killed Cardinal Juan Jesus Posadas Ocampo and six others.,Cardinal Juan Jesus Posadas Ocampo died in 1993.,YES
Two midsummer cruises aboard Clipper Adventure Cruises' 140-passenger World Discoverer (July 8 and Aug. 9) will take you to the wind-swept cliffs of the Pribilof Islands in the Bering Sea where cartoon-faced horned and tufted puffins stare.,The Pribilof Islands are located in the Bering Sea.,YES
That prompted Clinton wife Hillary Rodham Clinton and daughter Chelsea to spend a cold and dreary Saturday in Minsk.,Clinton's wife is called Hillary Rodham Clinton.,YES
Judie Vivian chief executive at ProMedica a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon) said that so far about 1,500 children have received treatment.,The previous name of Ho Chi Minh City was Saigon.,YES
A jury is slated to decide for the first time whether Jack Kevorkian famed as Dr. Death has violated Michigan's assisted-suicide ban while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives.,Jack Kevorkian is the real name of Dr. Death.,YES
He endeared himself to artists by helping them in lean years and following their careers said Henry Hopkins chairman of UCLA's art department director of the UCLA/Armand Hammer Museum and Cultural Center and former director of the Weisman foundation.,The UCLA/Hammer Museum is directed by Henry Hopkins.,YES
Before the game Alabama Birmingham Athletic Director and Coach Gene Bartow presented Cal State Northridge with a $5,000 check from Rust International Corp. for earthquake relief.,Gene Bartow coaches Alabama Birmingham.,YES
For the first time in history the players are investing their own money to ensure the future of the game Atlanta Brave pitcher Tom Glavine said.,Tom Glavine plays for the Atlanta Braves.,YES
Wilson has after all produced all three Offspring albums including Smash the one that has astonished everybody by selling 1 million copies in four months establishing the heretofore unknown group as the leader with Green Day of an unprecedented wave of commercial success for punk.,Smash is the title of the third album of the Offspring.,UNKNOWN
Historians estimate that 800,000 Chechens were stuffed into rail cars and deported to Kazakhstan and Siberia and 240,000 of them died en route.,Stalin deported 800,000 Chechens.,UNKNOWN
Germans vote for a party rather than a person and the left-of-center Social Democrats do not score as well in polls as Scharping himself.,Rudolph Scharping is a member of the Social Democrats.,UNKNOWN
That film wasn't too successful but then ‘WarGames' which was successful came out right when I won the Tony for 'Brighton Beach' in 1983.”,The film WarGames was shot in 1983.,NO
About half were along a 20-mile stretch of Santa Monica Bay from Topanga Canyon Boulevard to the Palos Verdes Peninsula.,The coastline of Santa Monica Bay is 50 miles long.,UNKNOWN
The Chapin Library's main attraction is its collection of Revolutionary-era documents including a 1776 printed version of the Declaration of Independence.,The Declaration of Independence was signed in 1776.,UNKNOWN
20th Century spokesman Rick Dinon said that between the time it applied for the rate increase and changed its mind the estimated quake losses had ballooned by several hundred million dollars.,Rick Dinon is the senior vice president of 20th Century Insurance Co.,NO
In naming Guillermo Ortiz to be Mexico's finance minister President Ernesto Zedillo appointed a friend former colleague and like himself a U.S.-trained economist.,Guillermo Ortiz was born in Mexico.,UNKNOWN
This was after all Chuck Yeager a guy with all the right stuff the biggest top gun of them all whose post-World War II exploits in the topsy-turvy world of supersonic air travel helped pave the way for space exploration.,Chuck Yeager broke the sound barrier in 1947.,UNKNOWN
Fiat's Gianni Agnelli owner of Juventus was quoted by Italian newspapers as saying that when Baggio came off the field after the Mexico game He looked like a wet rabbit.,Giovanni Agnelli is the president of Fiat.,UNKNOWN
PERSPECTIVE ON BOSNIA; A BALKANS PEACE THAT CANNOT LAST,Bosnia is located in the former Yugoslavia.,UNKNOWN
Gunmen loyal to Bosnian Serb nationalist leader Radovan Karadzic conquered 70% of Bosnia with their arsenal of tanks aircraft and howitzers bequeathed by the Yugoslav army.,Radovan Karadzic is the leader of Bosnia.,UNKNOWN
This year however the contest has taken on a new urgency as the Clinton Administration moving to block the Pyongyang government's bid to build a nuclear arsenal has rekindled some of the passion in North Korea's defiance of the West.,Pyongyang is the capital of North Korea.,UNKNOWN
In Seoul Han confirmed that all North Korean media on Monday had started referring to Kim Jong Il as His Excellency or by the term previously reserved for his father the Great Leader. Until now the younger Kim has been called the Dear Leader.,Kim Il Sung's son is called Kim Jong Il.,UNKNOWN
Swiss police confirmed Thursday that cult leader Luc Jouret was among the dead found in the Order of the Solar Temple's fire-gutted chalet in the alpine village of Granges-sur-Salvan.,Luc Jouret was the leader of the Order of the Solar Temple.,UNKNOWN
It is an image familiar to many Southern Californians but vividly illustrative in this Egyptian metropolis where a U.N. conference on global population is trying for the first time to draw clear links between population growth and the environment.,The International Conference on Population and Development was held in Cairo.,UNKNOWN
It rewrites the rules of global trade established by the General Agreement on Tariffs and Trade or GATT in 1947 and modified in multiple rounds of negotiations since then.,GATT was formed in 1947.,UNKNOWN
But the retired teacher comes down on the other side of an emotional debate about whether Estonia Sweden and Finland should spend the $70 million needed to raise the Estonia and the estimated 800 bodies entombed inside.,910 passengers died in the Estonia shipwreck.,UNKNOWN
Mayday! Here is Estonia! Outside Uto lighthouse. We have listed 20 to 30 degrees the Finnish Coast Guard quoted the distress signal.,The Estonia sank south of Uto island.,UNKNOWN
Canada rig count at 148 down 46 compared to last week's and down 27 compared to last year's.,Last year the tally was 148,NO
A senior coalition official in Iraq said the body which was found by U.S. military police west of Baghdad appeared to have been thrown from a vehicle.,A body has been found by U. S. military police.,YES
U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities including Fallujah and Baqubah.,Fallujah and Baqubah are Iraqi cities.,YES
Paul Bremer the top U.S. civilian administrator in Iraq and Iraq's new president Ghazi al-Yawar visited the northern Iraqi city of Kirkuk.,Ghazi al-Yawar is Iraq's new president.,YES
Arroyo was the favorite of investors because of her experience as a trained economist and government manager.,Arroyo has experience as an economist and as a government manager.,YES
The Philippine Stock Exchange Composite Index rose 0.1 percent to 1573.65.,The Philippine Stock Exchange Composite Index rose.,YES
The Philippine Stock Exchange Composite Index rose 0.1 percent to 1573.65.,The Philippine Stock Exchange Composite Index dropped.,NO
The government operations came a day after guerrillas in camouflage fatigues rampaged through the streets of Nazran Ingushetia's capital firing rocket-propelled grenades at police stations taking over checkpoints and setting fire to government buildings.,Ingushetia's capital is Nazran.,YES
Twenty-five of the dead were members of the law enforcement agencies and the rest of the 67 were civilians.,25 of the dead were civilians.,NO
The Mona Lisa painted by Leonardo da Vinci from 1503-1506 hangs in Paris' Louvre Museum.,The Mona Lisa is in France.,YES
A male gorilla escaped from his cage in the Berlin zoo and sent terrified visitors running for cover the zoo said yesterday.,A gorilla escaped from his cage in a zoo in Germany.,YES
Clonaid which claims to have produced 13 cloned babies worldwide told the Streats daily newspaper two Singaporean couples had signed deals agreeing to pay $200,000 to conceive children through cloning.,Clonaid has cloned 13 babies.,YES
Four days of talks got underway with the US announcing the first significant overture to North Korea since George W Bush took office three years ago.,George W. Bush entered the US presidency 3 years ago.,YES
If you suffer from certain genetic illnesses or carry a gene for that illness scientists can take one or two cells to check for those genes and transfer only healthy embryos.,Scientists can determine whether an embryo has genetic illnesses or is a carrier of them.,YES
Vodafone's share of net new subscribers in Japan has dwindled in recent months.,There have been many new subscribers to Vodafone in Japan in the past few months.,NO
This case is one of the first to be prosecuted under a new U.S. law regulating unwanted e-mail.,There is a new U. S. law that bans e-mail.,NO
Peter Voser a 46-year-old who joined ABB from Shell 2-1/2 years ago will rejoin the Anglo-Dutch company on October 4.,Peter Voser has worked for Shell in the past.,YES
Bombs exploded in two Turkish cities Thursday only days before Turkey plays host to a NATO summit.,Turkey plays host to suicide bombers.,UNKNOWN
The terrorist is suspected of being behind several deadly kidnappings and dozens of suicide attacks in Iraq.,Terrorist kidnaps dozens of Iraqis.,UNKNOWN
However witnesses said some of the black-clad gunmen who attacked a police station and government buildings in Baquba 60 km (40 miles) northwest of Baghdad proclaimed loyalty to Zarqawi and wore yellow headbands linking them to his group.,Some of the gunmen showed loyalty to Baquba's group.,UNKNOWN
South Korean President Roh Moo-hyun Thursday asked the Board of Audit and Inspection (BAI) to investigate questions arising about the Foreign Ministry's response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants according to Yonhap.,Roh Moo-hyun asked the BAI to kidnap a South Korean in Iraq.,NO
South Korean President Roh Moo-hyun Thursday asked the Board of Audit and Inspection (BAI) to investigate questions arising about the Foreign Ministry's response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants according to Yonhap.,A South Korean in Iraq was killed by Muslim militants.,YES
Increased storage isn't all Microsoft will be offering its Hotmail users--they can also look forward to free anti-virus protection.,Microsoft won't offer increased storage to its users.,NO
Increased storage isn't all Microsoft will be offering its Hotmail users--they can also look forward to free anti-virus protection.,Microsoft will provide free anti-virus protection.,YES
One year after shareholders approved a massive expansion in its pool of stock options eBay is asking for more.,Shareholders approved expansion for one year.,UNKNOWN
Oil prices edged up today as Norwegian employers said they would respond to a strike by locking out all workers next week threatening to shut off almost all oil and gas output.,Workers strike in response to Norwegian employers' threats.,UNKNOWN
Wal-Mart has received a lot of negative publicity recently including allegations that it used illegal workers and made employees work without pay during lunch breaks as well as complaints that it generally underpays employees.,Wal-Mart faces allegations for underpaying employees.,YES
Ashley Olsen has decided to remain with her twin sister Mary-Kate instead of going on a planned trip to Australia to promote the opening of the siblings' latest movie adventure New York Minute reports the AP.,Ashley Olsen plans a trip to Australia with Mary-Kate.,NO
Ashley Olsen has decided to remain with her twin sister Mary-Kate instead of going on a planned trip to Australia to promote the opening of the siblings' latest movie adventure New York Minute reports the AP.,The Olsen twins star in New York Minute.,YES
Traditionally 60 percent of the tickets sold for a stop on the Vans Warped Tour for example occur six days prior to the show.,Most tours only sell 60 percent of the tickets.,UNKNOWN
Passions surrounding Germany's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she didn't want to watch the game on television.,A woman passionately wanted to watch the soccer championship.,NO
Passions surrounding Germany's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she didn't want to watch the game on television.,A man was stabbed because of a soccer game.,YES
Draft experts say as many as eight U.S. high school prospects could be taken in the first round of the two-round draft as well as up to eight international players.,Draft experts draft eight international players.,UNKNOWN
In any case the fact that this week Michael Melvill a 63-year-old civilian pilot guided a tiny rocket-ship more than 100 kilometres above the Earth and then glided it safely back to Earth is a cause for celebration.,Michael Melvill guided more than 100 rocket-ships above the Earth.,NO
A joint survey by two conservation groups World Conservation Union and the World Wildlife Fund says the black rhino population has risen to over 3,600. That is an increase of 500 animals over the last two years.,Two conservation groups have increased the black rhino population.,UNKNOWN
The German-based team say their study is the only report of prolonged hibernation in a tropical mammal.,The team studies hibernating mammals in Germany.,UNKNOWN
Comdex -- once among the world's largest trade shows the launching pad for new computer and software products and a Las Vegas fixture for 20 years -- has been canceled for this year.,Comdex launches trade shows for 20 years.,UNKNOWN
Comdex -- once among the world's largest trade shows the launching pad for new computer and software products and a Las Vegas fixture for 20 years -- has been canceled for this year.,Los Vegas hosted the Comdex trade show for 20 years.,YES
A variety of devices could be powered selectively from a single-power source carried on the body via multiple power supply signals at different frequencies according to the patent abstract.,The patent abstract shows a number of devices using a single source.,YES
Canadian wireless technology licensing company Wi-LAN has begun legal action against Cisco alleging the networking giant's Linksys and Aironet products are making use of its intellectual property without permission.,Linksys and Aironet begin legal action against a Canadian company.,NO
The organisation reports that it has recently seen a significant rise in the number of complaints and some of these involve modem connections being redirected unbeknown to the users.,Users were unaware of the modem connections' redirection.,YES
The organisation reports that it has recently seen a significant rise in the number of complaints and some of these involve modem connections being redirected unbeknown to the users.,Complaints arose in the organisation about users who redirect their modem connections.,UNKNOWN
A closely divided U.S. Supreme Court said on Thursday its 2002 ruling that juries and not judges must impose a death sentence applies only to future cases a decision that may affect more than 100 death row inmates.,The Supreme Court decided that only judges can impose the death sentence.,NO
In Johannesburg about 500 angry AIDS activists many wearing red and white T-shirts that said HIV Positive criticized Bush saying he had hurt the global fight against AIDS by spending billions of dollars on war.,In Johannesburg activists complained that Bush spent billions of dollars on the global fight against AIDS instead of on war.,NO
The memorandum noted the United Nations estimated that 2.5 million to 3.5 million people died of AIDS last year.,Over 2 million people died of AIDS last year.,YES
A compound in breast milk has been found to destroy many skin warts raising hopes it also might prove effective against cervical cancer and other lethal diseases caused by the same virus.,Breast milk may help fight cervical cancer.,YES
Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google Yahoo and Lycos.,Microsoft's Hotmail has raised its storage capacity to 250MB.,YES
Saddam Hussein was being treated with dignity and respect.,Saddam Hussein was being treated as a dignitary.,UNKNOWN
Shares of Salesforce closed Wednesday at $17.20 more than 50% above their offering price.,Salesforce shares were more than 50% above their offering price of $17.20.,NO
Nevertheless Salesforce.com's stock--which began trading on the New York Stock Exchange under the symbol CRM--got a Wall Street reception in line with that of other recent successful tech IPOs.,Salesforce.com started trading under the symbol CRM.,YES
Binge drinking among young women is on the rise bringing with it a number of health consequences including fetal alcohol syndrome.,Young women are binge drinking more which can lead to the health risk of fetal alcohol syndrome.,YES
Other wildlife such as gemsbok zebras and springbok are also dependent on the Ugab wetlands.,Zebras depend on the Ugab wetlands.,YES
A two-day auction of property belonging to actress Katharine Hepburn brought in 3.2 million pounds.,A two-day auction of property belonging to actress Katharine Hepburn brought in £3.2m.,YES
Treasures belonging to Hollywood legend Katharine Hepburn have raised £3.2m at a two-day auction in America.,A two-day auction of property belonging to actress Katharine Hepburn brought in 3.2 million pounds.,YES
Hepburn's family will receive the proceeds from the sale.,Proceeds go to Hepburn's family.,YES
Money raised from the sale will go into a trust for Hepburn's family.,Proceeds go to Hepburn's family.,YES
A small bronze bust of Spencer Tracy sold for £174,000.,A small bronze bust of Spencer Tracy made £174,000.,YES
Hepburn a four-time Academy Award winner died last June in Connecticut at age 96.,Hepburn who won four Oscars died last June aged 96.,YES
A small bronze bust of Spencer Tracy sold for £174,000.,A small bronze bust of Spencer Tracy made £180,447.,NO
The most sought after piece and the most expensive item was a bronze bust of Spencer Tracy that Hepburn created in the 1960s.,The highest-selling item was a bronze bust made by Hepburn in the 1960s of her actor lover Spencer Tracy.,YES
Hepburn's platinum diamond and sapphire brooch had been estimated to fetch just $20,000 but sold for $120,000 six times its estimated price.,Hepburn's diamond and sapphire brooch fetched $120,000.,YES
Nichols 49 was convicted in the April 19 1995 bombing of the Alfred P. Murrah Federal Building in Oklahoma City.,Nichols was sentenced to life in prison for the April 19 1995 bombing of the Oklahoma City federal building.,UNKNOWN
Nichols was found guilty May 26 of 161 counts of first-degree murder for 160 victims and an unborn child in a state trial.,The state charges against Nichols are for 160 victims and one victim's fetus.,YES
A statement said to be from al Qaida claimed the terror group had killed one American and kidnapped another in Riyadh.,A U.S. citizen working in Riyadh has been kidnapped after a colleague in the same company was shot dead yesterday.,YES
Voting for a new European Parliament has been clouded by apathy.,Apathy clouds EU voting.,YES
Nineteen of the European Union's 25 member states were voting in the biggest transnational elections ever held and the first for the EU since the bloc's expansion into the former communist eastern Europe on May 1.,Nearly 350 million people were eligible to vote since the EU took in 10 new members on May 1.,UNKNOWN
Voting for a new European Parliament was clouded by concerns over apathy.,Voting for a new European Parliament has been clouded by apathy .,YES
Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman who oppose his withdrawal plan on Friday.,On Friday,Sharon fired Benny Elon and Avigdor Lieberman.,YES
The U.S. Army acceded to a request from the local governor to keep U.S. troops away from the Imam Ali Shrine in Najaf.,The U.S. Army agreed to a request from the local governor to keep US troops away from the Imam Ali Shrine in Najaf.,YES
Assailants also ambushed two civilian sport utility vehicles favoured by Western civilian contractors on the road to Baghdad's international airport,Assailants also ambushed two civilian sport utility vehicles on the road to Baghdad's international airport.,YES
Five U.S. soldiers were killed and five wounded Friday in an ambush near the Shiite neighborhood Sadr City.,Five US soldiers were killed and five wounded on Friday in an ambush near the Shi'ite neighbourhood Sadr City.,YES
Heemeyer cut portholes for his guns then welded a tight enclosure around them so police bullets could not penetrate.,Out of an old bulldozer Heemeyer built a concrete box that no police bullet could penetrate.,UNKNOWN
Police found four weapons-two semiautomatic machine guns a .223-caliber rifle and two handguns in the vehicle.,Police found four weapons - a .50-calibre rifle two military style assault rifles and a handgun in the vehicle.,NO
Heemeyer equipped an old bulldozer with three television cameras and monitors so he could see to steer.,Heemeyer had installed television cameras connected to three monitors so he could see where he was going.,YES
The 7-4 defeat by Long Beach State pushed the Cardinal to the brink in the double-elimination format of NCAA regionals.,Stanford Cardinal were defeated by Long Beach State 7-4.,YES
The two presidents Bush and Chirac were honored with a 21-gun salute.,The two presidents Bush and Chirac were honoured with a 21-gun salute.,YES
Reagan announced he had Alzheimer's disease an incurable brain affliction.,Reagan died of pneumonia complicated by Alzheimer's disease,UNKNOWN
Reagan was seriously wounded by a bullet fired by John Hinckley Jr. in an attempted assassination but made a remarkably speedy recovery.,Reagan survived an attempted assassin's bullets.,YES
Reagan was seriously wounded by a bullet fired by John Hinckley Jr.,John W. Hinckley Jr. shot Reagan in the chest.,UNKNOWN
Desko's Orange beat Navy 1413 on Monday for the Division I title in men's lacrosse.,Desko's Orange beat Navy 14-13 on Monday for the Division I title in men's lacrosse.,UNKNOWN
Monica Meadows a 22-year-old model from Atlanta was shot in the shoulder on a subway car in New York City.,Monica Meadows 23 was shot in shoulder while riding a subway car in New York City,NO
Oil prices this Tuesday rose sharply in New York and London reaching a record 42,33 US dollars per barrel 2.45 US dollars more than last Friday.,Oil prices this Tuesday surged to an all-time high in New York at 42 dollars a barrel 1.92 dollars a barrel more than last Friday.,NO
In New York Nymex light crude oil for July delivery hit $42.38 per barrel on Tuesday,Crude oil futures surged to an all-time high in New York Tuesday at 42 dollars a barrel.,UNKNOWN
Traditional performances in Jakarta include wayang dance and drama gamelan music and wayang shadow-puppet shows.,Gamelan music in which percussion instruments are key and shadow-puppet shows are popular in Jakarta.,YES
Some of the buildings around the city square in the Kota also date from colonial times including the old city hall ( 1710 ) which has been restored and now serves as the municipal museum.,The city hall is a museum now.,YES
Some of the buildings around the city square in the Kota also date from colonial times including the old city hall ( 1710 ) which has been restored and now serves as the municipal museum.,In the Old City are the old port the Dutch town hall and a square.,UNKNOWN
The Kota ( Fort ) or Old City for example sometimes called the downtown section is the central business district and Indonesia's financial capital.,The Kota is the country's business center.,YES
The Istiqlal Mosque in the northeast corner of Medan Merdeka opposite Lapangan Banteng is one of the largest mosques in Southeast Asia.,The Istiqlal Mosque is one of the largest mosques in Southeast Asia.,YES
Jakarta lies on a low flat alluvial plain with historically extensive swampy areas; the parts of the city farther inland are slightly higher.,The parts of Jakarta away from the coast are on slightly higher land.,YES
